File,Classification,Score,Smells
unicode.py,clean,0.0,
unsupported_version.py,clean,0.15,dead_code
utils.py,potential,0.4,"switch_stmt, dead_code"
variables.py,potential,0.4,"switch_stmt, dead_code"
__init__.py,clean,0.0,
implicit_booleaness_checker.py,potential,0.4,"switch_stmt, dead_code"
not_checker.py,potential,0.4,"switch_stmt, dead_code"
recommendation_checker.py,potential,0.4,"switch_stmt, dead_code"
refactoring_checker.py,potential,0.4,"switch_stmt, dead_code"
__init__.py,clean,0.0,
class_checker.py,potential,0.4,"switch_stmt, dead_code"
special_methods_checker.py,potential,0.4,"switch_stmt, dead_code"
__init__.py,clean,0.0,
basic_checker.py,potential,0.4,"switch_stmt, dead_code"
basic_error_checker.py,potential,0.4,"switch_stmt, dead_code"
comparison_checker.py,clean,0.15,dead_code
docstring_checker.py,potential,0.4,"switch_stmt, dead_code"
function_checker.py,potential,0.4,"switch_stmt, dead_code"
pass_checker.py,clean,0.15,dead_code
__init__.py,clean,0.0,
checker.py,potential,0.4,"switch_stmt, dead_code"
naming_style.py,clean,0.0,
__init__.py,clean,0.0,
