,File,Classification,Score,Smells
63,mermaidjs_printer.py,clean,0.25,switch_stmt
64,plantuml_printer.py,clean,0.25,switch_stmt
65,printer.py,clean,0.15,dead_code
66,printer_factory.py,clean,0.0,
67,utils.py,clean,0.25,switch_stmt
68,writer.py,clean,0.25,switch_stmt
70,message.py,clean,0.0,
71,message_definition.py,clean,0.25,switch_stmt
72,message_definition_store.py,clean,0.0,
73,message_id_store.py,potential,0.4,"switch_stmt, dead_code"
74,_deleted_message_ids.py,clean,0.15,dead_code
76,base_options.py,clean,0.15,dead_code
77,caching.py,clean,0.0,
78,expand_modules.py,clean,0.25,switch_stmt
79,message_state_handler.py,clean,0.25,switch_stmt
80,parallel.py,clean,0.0,
81,pylinter.py,potential,0.4,"switch_stmt, dead_code"
82,report_functions.py,clean,0.25,switch_stmt
83,run.py,clean,0.25,switch_stmt
84,utils.py,clean,0.0,
86,bad_builtin.py,clean,0.15,dead_code
87,broad_try_clause.py,clean,0.0,
88,check_elif.py,clean,0.15,dead_code
89,code_style.py,potential,0.4,"switch_stmt, dead_code"
90,comparison_placement.py,clean,0.15,dead_code
91,confusing_elif.py,clean,0.15,dead_code
92,consider_refactoring_into_while_condition.py,clean,0.25,switch_stmt
93,consider_ternary_expression.py,potential,0.4,"switch_stmt, dead_code"
94,dict_init_mutate.py,potential,0.4,"switch_stmt, dead_code"
95,docparams.py,potential,0.4,"switch_stmt, dead_code"
96,docstyle.py,potential,0.4,"switch_stmt, dead_code"
97,dunder.py,clean,0.0,
98,empty_comment.py,clean,0.0,
99,eq_without_hash.py,clean,0.0,
100,for_any_all.py,potential,0.4,"switch_stmt, dead_code"
101,magic_value.py,clean,0.15,dead_code
102,mccabe.py,clean,0.15,dead_code
103,no_self_use.py,potential,0.4,"switch_stmt, dead_code"
104,overlapping_exceptions.py,clean,0.25,switch_stmt
105,private_import.py,potential,0.4,"switch_stmt, dead_code"
106,redefined_loop_name.py,clean,0.15,dead_code
107,redefined_variable_type.py,potential,0.4,"switch_stmt, dead_code"
108,set_membership.py,clean,0.15,dead_code
109,typing.py,potential,0.4,"switch_stmt, dead_code"
110,while_used.py,clean,0.0,
111,_check_docs_utils.py,clean,0.25,switch_stmt
113,argument.py,clean,0.0,
114,arguments_manager.py,clean,0.25,switch_stmt
115,arguments_provider.py,clean,0.0,
116,callback_actions.py,clean,0.0,
117,config_file_parser.py,clean,0.0,
118,config_initialization.py,clean,0.25,switch_stmt
119,deprecation_actions.py,clean,0.0,
121,find_default_config_files.py,clean,0.0,
122,help_formatter.py,clean,0.0,
124,_breaking_changes.py,clean,0.15,dead_code
126,generate_command.py,clean,0.0,
127,help_message.py,clean,0.0,
129,setup.py,clean,0.0,
132,async_checker.py,potential,0.4,"switch_stmt, dead_code"
133,bad_chained_comparison.py,clean,0.15,dead_code
134,base_checker.py,clean,0.25,switch_stmt
135,clear_lru_cache.py,clean,0.0,
136,dataclass_checker.py,potential,0.4,"switch_stmt, dead_code"
137,deprecated.py,potential,0.4,"switch_stmt, dead_code"
138,design_analysis.py,potential,0.4,"switch_stmt, dead_code"
139,dunder_methods.py,clean,0.15,dead_code
140,ellipsis_checker.py,clean,0.15,dead_code
141,exceptions.py,potential,0.4,"switch_stmt, dead_code"
142,format.py,clean,0.25,switch_stmt
143,imports.py,potential,0.4,"switch_stmt, dead_code"
144,lambda_expressions.py,potential,0.4,"switch_stmt, dead_code"
145,logging.py,potential,0.4,"switch_stmt, dead_code"
146,method_args.py,potential,0.4,"switch_stmt, dead_code"
147,misc.py,clean,0.25,switch_stmt
148,modified_iterating_checker.py,potential,0.4,"switch_stmt, dead_code"
149,nested_min_max.py,potential,0.4,"switch_stmt, dead_code"
150,newstyle.py,potential,0.4,"switch_stmt, dead_code"
151,non_ascii_names.py,clean,0.15,dead_code
152,raw_metrics.py,clean,0.25,switch_stmt
153,spelling.py,potential,0.4,"switch_stmt, dead_code"
154,stdlib.py,potential,0.4,"switch_stmt, dead_code"
